"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
1336,BITS F364,HUMAN COMP INTERACTION,-,-,3,L1,MUKESH KUMAR ROHIL,1205,M W F  7,,23/12 FN
1791,BITS F382,READING COURSE,-,-,3,L1,SURESH GUPTA,,,,
1512,BITS F385,INTRO TO GENDER STUDIES,-,-,3,L1,MADHURIMA DAS,6152,T Th  5  F  10,,18/12 FN
"",,,,,,,Aswathy Chandragiri(RS),,,,
1592,BITS F412,PRACTICE SCHOOL II,-,-,20,L1,PS DEAN,,,,
1615,BITS F413,PRACTICE SCHOOL II,-,-,20,L1,PS DEAN,,,,
1248,BITS F415,INTRODUCTION TO MEMS,-,-,4,L1,SACHIN ULHASRAO BELGAMWAR,1234,M W F  2,,20/12 FN
1770,BITS F418,INTRO TO BIOMEDICAL ENGG,-,-,4,L1,"VENKATESH KADBUR PRABHAKARRAO",1232,M W F  3,,22/12 FN
"",,,,,,,Syamantak Majumder,,,,
1593,BITS F421T,THESIS,-,-,16,L1,SURESH GUPTA,,,,
1616,BITS F422T,THESIS,-,-,16,L1,SURESH GUPTA,,,,
1617,BITS F423T,THESIS,-,-,9,L1,SURESH GUPTA,,,,
1619,BITS F424T,THESIS,-,-,9,L1,SURESH GUPTA,,,,
2317,BITS F427,DIGITAL MARKETING,-,-,3,L1,NIRANKUSH DUTTA,6152,M W F  9,,13/12 AN
1806,BITS F431,FLEXIBLE MANUFAC SYST,-,-,4,L1N,TUFAN CHANDRA BERA,,T Th  5  F  10,,24/12 AN
2318,BITS F433,SUPPLY CHAIN ANALYTICS,-,-,4,L1,SATYENDRA KR SHARMA,6152,T Th  4  W  10,,17/12 AN
2001,BITS F437,TECHNICAL COMMUNICATION,-,-,3,L1,CHINTALAPALLI VIJAYAKUMAR,,T Th  10 11,,11/12 FN
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
"",,,,,,,Navya Bahl(RS),,,,
2433,BITS F451,AUTONOMOUS MOBILE ROBOTICS,-,-,3,L1,AVINASH GAUTAM,1203,T Th  4  W  10,,17/12 FN
"",,,,,,,Sudeept Mohan,,,,
1796,BITS F462,RENEWABLE ENERGY,-,-,3,L1,MANOJKUMAR SURAJKARANJI SONI,1219,T Th  4  W  10,,17/12 FN
1339,BITS F464,MACHINE LEARNING,-,-,3,L1,NAVNEET GOYAL,6101,M W F  9,,13/12 FN
"",,,,,,L2M,Navneet Goyal,,M W F  9,,13/12 FN
"",,Practical,,,,P1,Stuti Chug(RS),,T  10 11,,
"",,,,,,P2,Stuti Chug(RS),,T  10 11,,
1379,BITS F467,BIOETHICS & BIOSAFETY,-,-,3,L1,R MAHESH,5101,M W F  2,,20/12 FN
1797,BITS F468,NEW VENTURE CREATION,-,-,3,L1,SHAILI SINGH,5103,M W  11 12,,
1641,BITS F482,CREAT & LEAD ENTREP ORGN,-,-,3,L1,JYOTI,2204,M W F  2,,20/12 FN
1852,BITS F490,PROJECT MANAGEMENT,-,-,4,L1,RAJESH MATAI,6152,M W F  7,,23/12 AN
1804,BITS F494,ENV IMPACT ASSESSMENT,-,-,4,L1,RALLAPALLI SRINIVAS,1233,M W F  2,,20/12 FN
"",,,,,,,Srishti Gyaneshware Khare(RS),,,,
499,BITS G511,ADVANCED PROJECT,-,-,5,L1,JITENDRA PANWAR,,,,
547,BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,L1,JITENDRA PANWAR,,,,
"",,,,,,L2,Jitendra Panwar,,,,
754,BITS G529,RESEARCH PROJECT I,-,-,6,L1,JITENDRA PANWAR,,,,
755,BITS G539,RESEARCH PROJECT II,-,-,6,L1,JITENDRA PANWAR,,,,
2003,BITS G540,RESEARCH PRACTICE,-,-,4,L1,JITENDRA PANWAR,,,,
9,BITS G553,REAL TIME SYSTEMS,-,-,5,L1,SAI SESHA CHALAPATHI GATTUPALLI,,M  10  T Th  3,,20/12 AN
559,BITS G560,PRACTICE SCHOOL,-,-,20,L1,PS DEAN,,,,
