COMCOD,SEC,ROOM,DAYS_&_HOURS
1006.0,P1B,,M  4 5
1006.0,P2N,,T  7 8
1006.0,P3N,,T  7 8
1006.0,P4N,,T  7 8
1006.0,P5N,,T  7 8
1006.0,P6N,,T  7 8
1006.0,P7N,,T  7 8
1006.0,P8N,,T  7 8
1006.0,P9N,,T  7 8
1006.0,P10N,,T  9 10
1006.0,P11N,,T  9 10
1006.0,P12N,,T  9 10
1006.0,P13N,,T  9 10
1006.0,P14N,,T  9 10
1006.0,P15N,,T  9 10
1006.0,P16N,,T  9 10
1006.0,P17N,,T  9 10
1006.0,P18N,,Th  9 10
1006.0,P19N,,Th  9 10
1006.0,P20N,,Th  9 10
1006.0,P21N,,Th  9 10
1006.0,P22N,,Th  9 10
1006.0,P23N,,Th  9 10
1007.0,L1N,,M W F  2
1007.0,L2N,,M W F  9
1007.0,T1N,,F  4
1007.0,T2N,,F  4
1007.0,T3N,,M  4
1007.0,T4N,,M  4
1007.0,T5N,,M  4
1007.0,T6N,,M  4
1007.0,T7N,,Th  7
1007.0,T8N,,Th  7
1007.0,T9N,,W  4
1007.0,T10N,,W  4
1116.0,L1,6151.0,M W F  3
1116.0,T1,6151.0,Th  9
1117.0,L1,6151.0,M  10  T Th  3
1117.0,T1,6151.0,W  1
1118.0,L1,6151.0,M W F  2
1118.0,T1,6151.0,Th  1
1119.0,L1,6151.0,M W F  9
1119.0,T1,6151.0,M  1
1654.0,L1,,
1559.0,L1,6151.0,T Th  5  F  10
1559.0,T1,6151.0,T  2
1560.0,L1,6151.0,M W F  8
1560.0,T1,6151.0,T  1
1558.0,L1,6151.0,M W F  4
1558.0,T1,6151.0,Th  2
1558.0,P1,,T  7 8
1570.0,L1,,M W F  9
1577.0,L1,6104.0,M W F  3
1583.0,L1,1231.0,M W F  7
1585.0,L1,6108.0,M  10  T Th  3
1587.0,L1,1231.0,T Th  4  W  10
1669.0,L1,,
1739.0,L1,,
1688.0,L1,,
1755.0,L1,,
1574.0,L1,1219.0,M W F  2
1713.0,L1,,
736.0,L1,6156.0,M W F  3
937.0,L1,1232.0,M W F  9
1008.0,L1B,6151.0,T Th S  6
1008.0,L2N,,M W F  2
1008.0,L3N,,M W F  9
1008.0,P1B,,Th  10 11
1008.0,P2N,,T  1 2
1008.0,P3N,,T  1 2
1008.0,P4N,,T  1 2
1008.0,P5N,,T  1 2
1008.0,P6N,,T  1 2
1008.0,P7N,,T  1 2
1008.0,P8N,,Th  1 2
1008.0,P9N,,Th  1 2
1008.0,P10N,,Th  1 2
1008.0,P11N,,Th  1 2
1008.0,P12N,,Th  1 2
1008.0,P13N,,Th  1 2
1092.0,L1,5102.0,M  10  T Th  3
1092.0,P1,,Th  7 8
1092.0,P2,,T  10 11
1092.0,P3,,T  10 11
1092.0,P4,,Th  7 8
1092.0,P5,,Th  10 11
1092.0,P6,,Th  7 8
1090.0,L1,5102.0,M W F  9
1090.0,T1,5102.0,Th  1
1090.0,T2,,Th  1
1090.0,T3,1234.0,Th  1
1090.0,T4,,Th  1
1090.0,T5,1233.0,Th  1
1093.0,L1,5102.0,M W F  3
1093.0,L2,5105.0,M W F  3
1093.0,T1,5102.0,M  1
1093.0,T2,5105.0,M  1
1093.0,T3,1233.0,M  1
1093.0,T4,6101.0,M  1
1093.0,T5,6102.0,M  1
1093.0,T6,1234.0,M  1
1093.0,T7,1202.0,M  1
1093.0,T8,1204.0,M  1
1093.0,P1,,T  10 11
1093.0,P2,,T  10 11
1093.0,P3,,T  10 11
1093.0,P4,,T  10 11
1093.0,P5,,Th  7 8
1093.0,P6,,Th  7 8
1093.0,P7,,Th  7 8
1091.0,L1,5102.0,T Th  4  W  10
1091.0,T1,5102.0,F  1
1091.0,T2,6101.0,F  1
1091.0,T3,1234.0,F  1
1091.0,T4,,F  1
1091.0,T5,1233.0,F  1
1091.0,T6,,F  1
1655.0,L1,,
1316.0,L1,5105.0,M W  8
1316.0,T1,5105.0,F  8
1316.0,T2,1231.0,F  8
1316.0,T3,1226.0,F  8
1316.0,T4,,F  8
2266.0,L1,1226.0,M W F  2
2266.0,L2M,,M W F  2
2266.0,P1,,Th  7 8
2266.0,P2,,T  10 11
1317.0,L1,5105.0,M W F  4
1317.0,L2,5106.0,M W F  4
1317.0,P1,,T  10 11
1317.0,P2,,T  10 11
1317.0,P3,,T  10 11
1317.0,P4,,T  7 8
1317.0,P5,,T  7 8
1317.0,P6,,T  7 8
1314.0,L1,5102.0,M W F  5
1314.0,T1,1227.0,Th  9
1314.0,T2,,Th  9
1314.0,T3,1201.0,Th  9
1314.0,T4,,Th  9
1314.0,T5,1231.0,Th  9
1670.0,L1,,
1740.0,L1,,
1315.0,L1,5105.0,T Th  5  F  10
1315.0,T1,1223.0,T  2
1315.0,T2,1201.0,T  2
1315.0,T3,,T  2
1315.0,T4,1227.0,T  2
1315.0,T5,,T  2
1689.0,L1,,
1756.0,L1,,
1333.0,L1,1201.0,T Th  4  W  10
1333.0,L2M,,T Th  4  W  10
1322.0,L1N,,T Th  5  F  10
1322.0,P1N,,T  7 8
1322.0,P2N,,T  7 8
2440.0,L1,6152.0,M W F  2
2441.0,L1,6104.0,M  10  T Th  3
2441.0,P1,,Th  7 8
2432.0,L1,5106.0,M W F  2
1714.0,L1,,
2450.0,L1,6102.0,M W F  7
2450.0,P1,,T  10 11
2451.0,L1,1233.0,M W F  8
2004.0,L1N,,M W F  3
2005.0,L1N,,M W F  5
2108.0,L1,6160.0,T  9  T Th  1
