COMCOD,COURSE_NO,COURSE_TITLE,CREDIT,COMPRE_DATE_&_SESSION
1185.0,CHE F312,CHEMICAL ENGG LAB I,3.0,
1186.0,CHE F313,SEPARATION PROCESSES II,3.0,24/12 FN
1187.0,CHE F314,PROCESS DES PRINCIPLES I,3.0,27/12 FN
1190.0,CHE F343,PROCESS DES PRINCIPLE II,3.0,22/12 FN
1668.0,CHE F366,LABORATORY PROJECT,3.0,
1738.0,CHE F367,LABORATORY PROJECT,3.0,
1687.0,CHE F376,DESIGN PROJECT,3.0,
1754.0,CHE F377,DESIGN PROJECT,3.0,
1206.0,CHE F411,ENVIR POLLUTION CONTROL,3.0,13/12 FN
1201.0,CHE F414,TRANSPORT PHENOMENA,3.0,28/12 FN
1205.0,CHE F421,BIOCHEMICAL ENGINEERING,3.0,17/12 FN
2178.0,CHE F422,PETROLEUM  REFINING TECHNOLOGY,3.0,20/12 FN
2305.0,CHE F423,MEMBRANE SCIENCE & ENGINEERING,3.0,23/12 FN
1209.0,CHE F491,SPECIAL PROJECTS,3.0,
279.0,CHE G513,ENVIR MANAGEMENT SYSTEMS,5.0,22/12 AN
2002.0,CHE G523,MATH METHODS IN CHEM ENG,5.0,20/12 AN
2152.0,CHE G558,CHEM PROC OPTIMIZATION,4.0,24/12 AN
2032.0,CHE G622,ADV CHEMICAL ENGG THERMO,5.0,28/12 AN
1006.0,CHEM F110,CHEMISTRY LABORATORY,1.0,
1007.0,CHEM F111,GENERAL CHEMISTRY,3.0,21/01 AN
1116.0,CHEM F211,PHYSICAL CHEMISTRY I,3.0,22/12 FN
1117.0,CHEM F212,ORGANIC CHEMISTRY I,3.0,28/12 FN
1118.0,CHEM F213,PHYSICAL CHEMISTRY II,3.0,20/12 FN
1119.0,CHEM F214,INORGANIC CHEMISTRY I,3.0,13/12 FN
1654.0,CHEM F266,STUDY PROJECT,3.0,
1559.0,CHEM F311,ORGANIC CHEMISTRY III,3.0,18/12 FN
1560.0,CHEM F312,PHYSICAL CHEMISTRY IV,3.0,24/12 FN
1558.0,CHEM F313,INSTRU METHODS OF ANAL,4.0,27/12 FN
1570.0,CHEM F323,BIOPHYSICAL CHEMISTRY,3.0,13/12 FN
1577.0,CHEM F327,ELECTROCHEM FUNDA & APPL,3.0,22/12 FN
1583.0,CHEM F333,CHEMISTRY OF MATERIALS,3.0,23/12 FN
1585.0,CHEM F335,ORGANIC CHEM & DRUG DES,3.0,28/12 FN
1587.0,CHEM F337,GREEN CHEM & CATALYSIS,3.0,17/12 FN
1669.0,CHEM F366,LABORATORY PROJECT,3.0,
1739.0,CHEM F367,LABORATORY PROJECT,3.0,
1688.0,CHEM F376,DESIGN PROJECT,3.0,
1755.0,CHEM F377,DESIGN PROJECT,3.0,
1574.0,CHEM F422,STATISTICAL THERMODYNAM,3.0,20/12 FN
1713.0,CHEM F491,SPECIAL PROJECT,3.0,
736.0,CHEM G551,ADV ORGANIC CHEMISTRY,5.0,22/12 AN
937.0,CHEM G553,ADV PHYSICAL CHEMISTRY,5.0,11/12 FN
1008.0,CS F111,COMPUTER PROGRAMMING,4.0,23/12 AN
1092.0,CS F213,OBJECT ORIENTED PROG,4.0,28/12 FN
1090.0,CS F214,LOGIC IN COMPUTER SC,3.0,13/12 FN
1093.0,CS F215,DIGITAL DESIGN,4.0,22/12 FN
1091.0,CS F222,DISCR STRUC FOR COMP SCI,3.0,17/12 FN
1655.0,CS F266,STUDY PROJECT,3.0,
1316.0,CS F301,PRINCIPLES OF PROGG LANG,2.0,24/12 FN
2266.0,CS F320,FOUNDATIONS OF DATA SCIENCE,3.0,20/12 FN
1317.0,CS F342,COMPUTER ARCHITECTURE,4.0,27/12 FN
1314.0,CS F351,THEORY OF COMPUTATION,3.0,15/12 FN
1670.0,CS F366,LABORATORY PROJECT,3.0,
1740.0,CS F367,LABORATORY PROJECT,3.0,
1315.0,CS F372,OPERATING SYSTEMS,3.0,18/12 FN
1689.0,CS F376,DESIGN PROJECT,3.0,
1756.0,CS F377,DESIGN PROJECT,3.0,
1333.0,CS F407,ARTIFICIAL INTELLIGENCE,3.0,17/12 FN
1322.0,CS F415,DATA MINING,3.0,22/12 AN
2440.0,CS F425,DEEP LEARNING,3.0,20/12 FN
2441.0,CS F426,GRAPH MINING,4.0,11/12 FN
2432.0,CS F451,COMBINATORIAL MATHEMATICS,3.0,20/12 FN
1714.0,CS F491,SPECIAL PROJECT,3.0,
2450.0,CS G518,INTERNET OF THINGS: DESIGN AND,4.0,23/12 AN
2451.0,CS G519,SOCIAL MEDIA ANALYTICS,4.0,24/12 AN
2004.0,CS G525,ADV COMPUTER NETWORKS,5.0,22/12 FN
2005.0,CS G526,ADV ALGO & COMPLEXITY,5.0,21/12 AN
2108.0,CS G527,CLOUD COMPUTING,5.0,14/12 AN
918.0,CS G553,RECONFIGURABLE COMPUTING,5.0,23/12 AN
782.0,CS G623,ADVANCED OPERAT SYSTEMS,5.0,24/12 AN
445.0,DE G513,TRIBOLOGY,5.0,13/12 AN
436.0,DE G514,FRACTURE MECHANICS,5.0,28/12 AN
362.0,DE G531,PRODUCT DESIGN,5.0,28/12 AN
678.0,DE G611,DYNAMICS & VIBRATION,5.0,17/12 AN
625.0,DE G631,MATERIALS TECH & TESTING,5.0,27/12 AN
1023.0,ECON F211,PRINCIPLES OF ECONOMICS,3.0,13/12 FN
1120.0,ECON F212,FUNDA OF FIN AND ACCOUNT,3.0,28/12 AN
1121.0,ECON F213,MATHEMATIC & STAT METHOD,3.0,17/12 FN
1145.0,ECON F214,ECONOMIC ENV OF BUSINESS,3.0,22/12 FN
1656.0,ECON F266,STUDY PROJECT,3.0,
1446.0,ECON F311,INTERNATIONAL ECONOMICS,3.0,15/12 FN
1447.0,ECON F312,MONEY BANK & FIN MARKETS,3.0,27/12 FN
1448.0,ECON F313,ISSUES IN ECONOMIC DEV,3.0,24/12 FN
1773.0,ECON F314,INDUSTRIAL ECONOMICS,3.0,23/12 FN
1565.0,ECON F354,DERIVATIVES & RISK MGMT,3.0,23/12 FN
1547.0,ECON F355,BUSS ANAL & VALUATION,3.0,22/12 AN
1684.0,ECON F366,LABORATORY PROJECT,3.0,
1741.0,ECON F367,LABORATORY PROJECT,3.0,
1690.0,ECON F376,DESIGN PROJECT,3.0,
1757.0,ECON F377,DESIGN PROJECT,3.0,
1566.0,ECON F412,SECUR ANAL & PORTFOL MGT,3.0,17/12 FN
1552.0,ECON F414,CREAT & LEAD ENTREP ORGN,3.0,20/12 FN
1553.0,ECON F415,NEW VENTURE CREATION,3.0,
1925.0,ECON F417,RISK MANAGEMENT AND INSURA,3.0,20/12 FN
1875.0,ECON F435,MARKETING RESEARCH,3.0,17/12 FN
1568.0,ECON F471,RESOURCES & ENVIR ECON,3.0,17/12 FN
1726.0,ECON F491,SPECIAL PROJECT,3.0,
1009.0,EEE F111,ELECTRICAL SCIENCES,3.0,24/12 AN
1077.0,EEE F211,ELECTRICAL MACHINES,4.0,28/12 FN
1078.0,EEE F212,ELECTROMAGNETIC THEO,3.0,17/12 FN
1080.0,EEE F214,ELECTRONIC DEVICES,3.0,13/12 FN
1079.0,EEE F215,DIGITAL DESIGN,4.0,22/12 FN
1889.0,EEE F245,CONTROL SYSTEMS LAB,1.0,13/12 FN
1657.0,EEE F266,STUDY PROJECT,3.0,
1242.0,EEE F311,COMMUNICATION SYSTEMS,4.0,27/12 FN
1243.0,EEE F313,ANALOG & DIGIT VLSI DES,3.0,24/12 FN
1731.0,EEE F366,LABORATORY PROJECT,3.0,
1742.0,EEE F367,LABORATORY PROJECT,3.0,
1691.0,EEE F376,DESIGN PROJECT,3.0,
1758.0,EEE F377,DESIGN PROJECT,3.0,
2288.0,EEE F411,INTERNET OF THINGS,4.0,20/12 FN
1254.0,EEE F422,MODERN CONTROL SYSTEMS,3.0,23/12 FN
1259.0,EEE F426,FIBRE OPTICS & OPTOELECT,3.0,22/12 FN
1256.0,EEE F434,DIGITAL SIGNAL PROCESS,4.0,13/12 FN
1257.0,EEE F435,DIGITAL IMAGE PROCESSING,3.0,14/12 FN
1249.0,EEE F472,SATELLITE COMMUNICATION,3.0,23/12 FN
1855.0,EEE F474,ANTENNA THEO AND DESIGN,4.0,20/12 FN
1716.0,EEE F491,SPECIAL PROJECT,3.0,
324.0,EEE G512,EMBEDDED SYSTEM DESIGN,4.0,27/12 AN
2175.0,EEE G547,DEVICE DRIVERS,5.0,15/12 AN
698.0,EEE G581,RF & MICROWAVE ENGG,5.0,22/12 AN
712.0,EEE G591,OPTICAL COMMUNICATION,5.0,18/12 AN
1896.0,EEE G594,ADVANCED VLSI DEVICES,5.0,13/12 AN
1897.0,EEE G595,"NANOELECTRO AND NANOPHOTOTECH",5.0,23/12 AN
707.0,EEE G612,CODING THEORY & PRACTICE,5.0,28/12 AN
471.0,EEE G613,ADV DIGITAL SIGNAL PROC,5.0,21/12 AN
921.0,EEE G626,HARDWARE SOFTWARE CO-DSN,4.0,17/12 AN
2267.0,EEE G641,APPLIED ESTIMATION THEORY,5.0,15/12 AN
1658.0,FIN F266,STUDY PROJECT,3.0,
1539.0,FIN F311,DERIVATIVES & RISK MGMT,3.0,23/12 FN
1545.0,FIN F313,SECUR ANAL & PORTFOL MGT,3.0,17/12 FN
1732.0,FIN F366,LABORATORY PROJECT,3.0,
1743.0,FIN F367,LABORATORY PROJECT,3.0,
1692.0,FIN F376,DESIGN PROJECT,3.0,
1759.0,FIN F377,DESIGN PROJECT,3.0,
1942.0,FIN F414,FINANCIAL RISK ANAL AND MGMT,3.0,20/12 FN
1717.0,FIN F491,SPECIAL PROJECT,3.0,
1130.0,GS F211,MOD POLITICAL CONCEPTS,3.0,18/12 FN
1131.0,GS F212,ENVIRON DEV & CLIMATE CH,3.0,27/12 FN
1132.0,GS F213,DEVELOPMENT THEORIES,3.0,28/12 FN
1133.0,GS F221,BUSINESS COMMUNICATION,3.0,21/12 FN
1134.0,GS F222,LANGUAGE LAB PRACTICE,3.0,
1135.0,GS F223,INTRO TO MASS COMM,3.0,23/12 FN
1136.0,GS F224,PRINT & AUDIO VISU ADVER,3.0,15/12 AN
1169.0,GS F231,DYN OF SOCIAL CHANGE,3.0,21/12 FN
1170.0,GS F232,INTRODUCTORY PSYCHOLOGY,3.0,18/12 FN
1159.0,GS F242,CULTURAL STUDIES,3.0,24/12 FN
1659.0,GS F266,STUDY PROJECT,3.0,
1173.0,GS F311,INTRO TO CONFLICT MGMT,3.0,27/12 FN
1174.0,GS F312,APPLIED PHILOSOPHY,3.0,18/12 FN
1914.0,GS F313,MARXIAN THOUGHTS,3.0,28/12 FN
1163.0,GS F321,MASS MEDIA & CONTENT DES,3.0,27/12 FN
